Date,Item,Price
2022-07-08,Compass,15
,Evo,100
,Snackshot,10
,Harrison Waterpark,45
,Save on foods,250
2022-07-09,McDonalds,5
,Ajisai sushi,25
2022-07-10,Compass,15
2022-07-11,Big way hotpot,20
,Hon sushi,15
2022-07-12,Uber,15
,Spotify,80
,Hongdae,20
,Passion 8,15
2022-07-13,Earnest,10
,Ophelia,30
2022-07-15,Uber eats,20
,Save on foods,50
2022-07-16,Ole,30
,Matsuyama,15
,Houcailei,5
2022-07-17,Uber eats,5
,Compass,15
2022-07-19,Houcailei,200
,Gyukaku,30
2022-07-20,Aquabus,10
,Fatburger,10
2022-07-21,Kook,30
,Ludica,20
,Boba run,5
,Tacofino,15
,Compass,5
,Compass,5
2022-07-24,Bubble waffle,15
,Manchu wok,10
,Compass,20
2022-07-26,Steve's poke,15
,Asa sushi,10
2022-07-27,Bed bath beyond,50
,Shoppers,20
,Amazon,10
,Walmart,20
2022-07-28,T&T,30
,IKEA,50
,Eggstatic,20
,Amazon,10
2022-07-29,Bed bath beyond,20
,Tendon,22.34
2022-07-30,Amazon,5
,Amazon,15
,Shoppers,10
,Baoguette,15
2022-08-08,Compass,15
,Evo,20
,Snackshot,10
,Harrison Waterpark,45
,Save on foods,250
2022-08-09,McDonalds,5
,Ajisai sushi,25
2022-08-10,Compass,15
2022-08-11,Big way hotpot,20
,Hon sushi,15
2022-08-12,Uber,15
,Spotify,10
,Hongdae,20
,Passion 8,15
2022-08-13,Earnest,10
,Ophelia,30
2022-08-15,Uber eats,20
,Save on foods,50
2022-08-16,Ole,30
,Matsuyama,15
,Houcailei,5
2022-08-17,Uber eats,5
,Compass,15
2022-08-19,Houcailei,5
,Gyukaku,30
2022-08-20,Aquabus,10
,Fatburger,10
2022-08-21,Kook,30
,Ludica,20
,Boba run,5
,Tacofino,15
,Compass,5
,Compass,5
2022-08-24,Bubble waffle,15
,Manchu wok,10
,Compass,20
2022-08-26,Steve's poke,15
,Asa sushi,10
2022-08-27,Bed bath beyond,50
,Shoppers,20
,Amazon,10
,Walmart,20
2022-08-28,T&T,30
,IKEA,50
,Eggstatic,20
,Amazon,10
2022-08-29,Bed bath beyond,20
,Tendon,22.34
2022-08-30,Amazon,5
,Amazon,15
,Shoppers,10
,Baoguette,15
2022-09-04,T&T,20
,Compass,50
,Walmart,25
2022-09-05,Amazon,30
2022-09-07,Chipotle,250
2022-09-08,T&T,20
,Compass,50
,Walmart,25
2022-09-15,T&T,30
,IKEA,50
,Eggstatic,20
,Amazon,10
,Spotify,50